name,ra,dec,z,type
SDSS J081109.38+172928.9,122.78912,17.491364,0.39,Q
SDSS J162206.75+434636.7,245.528148,43.776861,0.66,Q
SDSS J124157.25+595528.1,190.488562,59.924505,0.63,Q
SDSS J235939.10+212908.3,359.912939,21.485675,1.71,Q
SDSS J092030.98-013253.2,140.129104,-1.548115,2.24,Q
SDSS J001557.33+061000.3,3.988883,6.166767,0.77,Q
SDSS J164055.66+285630.7,250.231945,28.941867,1.42,QR
SDSS J101910.84+020458.9,154.795182,2.083067,0.36,Q
SDSS J130150.72+441319.7,195.46136,44.222138,0.42,AX
SDSS J022927.79+021006.2,37.365787,2.168436,0.26,QX
SDSS J115633.69+363607.3,179.140399,36.602019,0.39,Q
SDSS J142146.72+005325.2,215.444651,0.890365,2.23,Q
SDSS J220704.10+222231.4,331.767101,22.375379,0.55,BR
SDSS J084225.43+411517.2,130.605981,41.254773,0.29,A
SDSS J112649.88+292859.7,171.707873,29.483279,0.82,Q
SDSS J020834.36+300221.1,32.143159,30.039186,1.81,Q
SDSS J130013.13+584051.6,195.054797,58.681038,1.11,Q
SDSS J000941.93+184746.5,2.424726,18.796264,0.88,Q
SDSS J112837.97+362411.3,172.158224,36.403153,0.31,Q
SDSS J235332.19+020938.3,358.384146,2.160639,0.51,A
SDSS J102933.12+563222.8,157.388006,56.539669,1.15,Q
SDSS J013416.94+070630.6,23.570623,7.108537,2.38,Q
SDSS J021318.29+130643.9,33.326257,13.112192,0.4,QX
SDSS J231033.88+160816.5,347.641178,16.137927,0.71,Q
SDSS J155609.76+401122.6,239.040722,40.189612,0.54,Q
SDSS J133842.59+333219.7,204.677462,33.538805,0.29,AX
SDSS J122315.71+164249.1,185.815454,16.713646,1.41,QR
SDSS J110113.99+630220.0,165.308302,63.038906,0.56,Q
SDSS J134448.72+620044.3,206.202961,62.012316,2.21,Q
SDSS J092933.96+503025.3,142.391546,50.507043,0.56,Q
SDSS J150215.95+083617.7,225.566462,8.604915,2.54,Q
SDSS J092228.70+543606.6,140.6196,54.601848,0.69,Q
SDSS J082507.79+294010.3,126.28253,29.669537,0.87,Q
SDSS J141053.92+191858.9,212.724689,19.316383,0.48,Q
SDSS J091153.86+585810.1,137.974424,58.969518,0.83,Q
SDSS J081955.31+461522.0,124.980545,46.256137,1.02,Q
SDSS J132841.39+484234.3,202.172472,48.709531,0.41,A
SDSS J081603.83+430521.1,124.016067,43.089199,0.58,QX
SDSS J121718.97+324455.5,184.329082,32.748744,1.45,Q
SDSS J085107.94+233219.6,132.783137,23.538768,0.53,Q
SDSS J223546.22+202431.4,338.942592,20.408716,0.64,Q
SDSS J091448.41+045912.4,138.701711,4.986796,0.49,Q
SDSS J105159.69+370302.5,162.998688,37.050705,0.82,Q
SDSS J150529.51+565742.1,226.372969,56.961722,1.65,Q
SDSS J001812.08+061749.1,4.55035,6.296982,0.91,Q
SDSS J105515.74+265323.1,163.81558,26.889757,1.34,QR
SDSS J093454.21+295737.1,143.725885,29.960312,0.56,Q
SDSS J080415.02+002856.2,121.062631,0.482302,2.31,Q
SDSS J095555.25+123544.4,148.980212,12.595684,0.51,Q
SDSS J132207.85+334630.2,200.532755,33.775078,2.5,Q
SDSS J143730.46+075127.9,219.376927,7.857771,0.25,Q
SDSS J133329.45+154550.0,203.372696,15.763903,0.24,AX
SDSS J141248.68+253225.8,213.20284,25.540521,0.29,Q
SDSS J162729.59+515928.5,246.873328,51.991254,0.74,Q
SDSS J001126.59-021917.8,2.860835,-2.321643,1.04,Q
SDSS J164032.02+305602.9,250.133431,30.934159,0.46,A
SDSS J130759.09+492642.3,196.996214,49.44505,1.18,Q
SDSS J014438.32+070301.5,26.15969,7.050455,0.73,Q
SDSS J165043.44+425149.3,252.681022,42.86371,1.54,Q
SDSS J112851.66+420749.1,172.215248,42.13034,2.53,Q
SDSS J090324.85+595329.4,135.853582,59.891511,0.76,Q
SDSS J083512.14+271503.6,128.800606,27.251011,1.12,Q
SDSS J152123.23+092634.3,230.346828,9.442854,0.32,Q
SDSS J134543.02+374338.2,206.429276,37.727312,0.81,Q
SDSS J125956.27+625913.0,194.984476,62.986951,0.62,Q
SDSS J131026.27+622029.9,197.609439,62.341629,0.66,Q
SDSS J074844.90+513750.3,117.187115,51.630663,0.73,Q
SDSS J111255.67+570022.2,168.231962,57.006176,0.84,QX
SDSS J114402.53+264832.6,176.010576,26.809049,0.6,QX
SDSS J011301.28-020704.9,18.255322,-2.118039,2.31,Q
SDSS J114518.31+674941.4,176.326306,67.82818,0.59,Q
SDSS J103142.39+394220.0,157.926653,39.705568,0.41,Q
SDSS J080502.29+305242.2,121.259601,30.878394,0.94,Q
SDSS J083453.72+174556.2,128.723865,17.765611,3.28,Q
SDSS J220440.35+091334.5,331.168139,9.226242,0.71,Q
SDSS J145317.21+373808.2,223.321731,37.635636,0.88,Q
SDSS J133837.96+381423.0,204.658214,38.239734,0.6,Q
SDSS J095056.89+413347.3,147.737067,41.563156,0.24,AX
SDSS J074100.76+263404.7,115.253192,26.567998,0.83,Q
SDSS J101614.88+464750.3,154.062027,46.797321,0.8,Q
SDSS J151847.70+061259.0,229.698782,6.216396,0.49,QRX
SDSS J152738.91+445637.2,231.912148,44.943678,0.57,QX
SDSS J153739.63+555922.3,234.415129,55.989548,1.18,Q
SDSS J082820.91+555702.3,127.087103,55.950638,0.54,Q
SDSS J133409.50+461004.7,203.539587,46.167946,0.31,A
SDSS J144748.95+425506.0,221.953996,42.918353,0.85,Q
SDSS J133503.51+081640.5,203.764627,8.277949,0.32,A
SDSS J010206.13+084143.4,15.525563,8.695408,0.95,Q
SDSS J012602.95-090425.6,21.512304,-9.073808,0.51,Q
SDSS J133243.76+334553.7,203.18234,33.764923,0.59,Q
SDSS J082919.48+313834.3,127.331201,31.642875,0.9,Q
SDSS J154445.58+555213.8,236.189915,55.870532,3.15,Q
SDSS J165530.54+480729.2,253.877276,48.124778,0.52,Q
SDSS J103721.67+222941.8,159.340303,22.494944,0.63,Q
